!!SYSTEM_INI
NUM_CHANS=1
JEDEC_DATA_BUS_BITS=64
TRANS_QUEUE_DEPTH=64
CMD_QUEUE_DEPTH=32
EPOCH_LENGTH=100000
USE_LOW_POWER=false
TOTAL_ROW_ACCESSES=4
ROW_BUFFER_POLICY=close_page
SCHEDULING_POLICY=rank_then_bank_round_robin
ADDRESS_MAPPING_SCHEME=scheme2
QUEUING_STRUCTURE=per_rank
DEBUG_TRANS_Q=false
DEBUG_CMD_Q=false
DEBUG_ADDR_MAP=false
DEBUG_BANKSTATE=false
DEBUG_BUS=false
DEBUG_BANKS=false
DEBUG_POWER=false
VIS_FILE_OUTPUT=true
VERIFICATION_OUTPUT=false
NUM_RANKS=1
!!DEVICE_INI
NUM_BANKS=16
NUM_ROWS=65536
NUM_COLS=2048
DEVICE_WIDTH=4
REFRESH_PERIOD=7800
tCK=1.5
CL=10
AL=0
BL=8
tRAS=24
tRCD=10
tRRD=4
tRC=34
tRP=10
tCCD=4
tRTP=5
tWTR=5
tWR=10
tRTRS=1
tRFC=107
tFAW=20
tCKE=4
tXP=4
tCMD=1
IDD0=130
IDD1=155
IDD2P=10
IDD2Q=70
IDD2N=70
IDD3Pf=60
IDD3Ps=60
IDD3N=90
IDD4W=300
IDD4R=255
IDD5=305
IDD6=9
IDD6L=12
IDD7=460
Vdd=1.5
!!EPOCH_DATA
ms,Background_Power[0][0],ACT_PRE_Power[0][0],Burst_Power[0][0],Refresh_Power[0][0],Bandwidth[0][0][0],Average_Latency[0][0][0],Bandwidth[0][0][1],Average_Latency[0][0][1],Bandwidth[0][0][2],Average_Latency[0][0][2],Bandwidth[0][0][3],Average_Latency[0][0][3],Bandwidth[0][0][4],Average_Latency[0][0][4],Bandwidth[0][0][5],Average_Latency[0][0][5],Bandwidth[0][0][6],Average_Latency[0][0][6],Bandwidth[0][0][7],Average_Latency[0][0][7],Bandwidth[0][0][8],Average_Latency[0][0][8],Bandwidth[0][0][9],Average_Latency[0][0][9],Bandwidth[0][0][10],Average_Latency[0][0][10],Bandwidth[0][0][11],Average_Latency[0][0][11],Bandwidth[0][0][12],Average_Latency[0][0][12],Bandwidth[0][0][13],Average_Latency[0][0][13],Bandwidth[0][0][14],Average_Latency[0][0][14],Bandwidth[0][0][15],Average_Latency[0][0][15],Rank_Aggregate_Bandwidth[0][0],Rank_Average_Bandwidth[0][0],Aggregate_Bandwidth[0],Average_Bandwidth[0],
5.85,2.15909,7.09226,3.39758,0.104903,0.470479,422.512,0.469287,438.239,0.468493,438.936,0.472069,440.317,0.471274,416.803,0.471671,417.332,0.470082,417.821,0.470479,416.396,0.468095,423.685,0.472069,441.778,0.470082,438.069,0.473261,441.16,0.469685,417.741,0.470479,418.618,0.467698,413.025,0.472069,415.766,7.52727,7.52727,7.52727,0.470454,
6,2.15904,7.04621,3.31754,0.110424,0.460545,368.234,0.468493,377.068,0.474056,375.968,0.470082,375.758,0.465314,371.803,0.4673,374.749,0.458161,370.62,0.460545,367.994,0.462929,374.023,0.478824,376.396,0.454187,365.518,0.472864,374.666,0.468095,373.766,0.472466,376.591,0.470082,372.96,0.475645,376.126,7.47959,7.47959,7.47959,0.467474,
6.15,2.15909,7.0698,3.20967,0.104903,0.472864,281.712,0.466903,281.184,0.473658,284.487,0.480811,284.443,0.457366,274.517,0.469287,280.632,0.471274,281.839,0.463327,280.825,0.468493,280.721,0.474056,283.175,0.468095,277.086,0.460148,278.701,0.474056,287.474,0.467698,280.79,0.464519,281.759,0.470479,284.976,7.50303,7.50303,7.50303,0.46894,
6.3,2.15909,7.13494,3.12209,0.104903,0.469685,221.35,0.472864,221.461,0.47485,219.512,0.484784,225.919,0.468095,219.778,0.474453,221.357,0.473658,220.661,0.47485,222.023,0.474056,221.223,0.479221,225.362,0.469685,222.955,0.474453,219.745,0.473261,225.299,0.468493,223.486,0.46134,222.248,0.476837,224.6,7.57058,7.57058,7.57058,0.473162,
6.45,2.10979,4.33593,1.98084,0.104903,0.280142,211.098,0.282129,215.026,0.269413,208.232,0.284115,213.584,0.282526,212.887,0.288089,213.472,0.285308,212.724,0.292857,214.468,0.292063,212.754,0.286102,213.824,0.2865,215.621,0.290871,209.441,0.29405,221.047,0.294844,212.141,0.3016,230.972,0.294844,217.106,4.60545,4.60545,4.60545,0.287841,
6.6,2.06223,2.20596,1.02892,0.110424,0.145833,98.9289,0.149409,100.987,0.149409,98.8571,0.143846,92.4805,0.14623,97.4348,0.144243,96.5087,0.143846,91.4283,0.144243,99.7961,0.147422,98.4694,0.14623,95.3057,0.148217,95.7445,0.144243,94.2904,0.148217,99.1565,0.14782,96.8858,0.147025,97.474,0.145435,96.1681,2.34167,2.34167,2.34167,0.146354,
6.75,2.09949,3.0873,1.44003,0.104903,0.207027,117.106,0.207822,111.829,0.206232,110.788,0.201464,110.16,0.20504,116.136,0.206232,112.008,0.201464,113.407,0.202656,111.974,0.204245,109.221,0.206232,114.916,0.201066,107.69,0.203848,115.914,0.207424,117.183,0.203848,112.166,0.20504,110.902,0.206232,111.014,3.27587,3.27587,3.27587,0.204742,
6.9,2.15325,4.52313,2.13045,0.104903,0.296434,133.329,0.294447,135.254,0.30001,136.517,0.303189,140.664,0.300805,138.662,0.298023,142.146,0.303984,141.753,0.302792,139.772,0.304381,145.901,0.294844,138.885,0.301202,138.368,0.295639,138.533,0.300407,135.278,0.299613,134.644,0.300805,136.705,0.303586,135.789,4.80016,4.80016,4.80016,0.30001,
7.05,2.07932,2.38792,1.13308,0.104903,0.160138,106.399,0.156959,105.109,0.160138,106.324,0.158946,103.298,0.15974,105.869,0.16133,107.426,0.157754,104.742,0.157754,106.541,0.160535,107.041,0.160138,106.732,0.156164,100.568,0.159343,106.439,0.156562,102.453,0.157356,103.142,0.154177,102.719,0.157754,109.034,2.53479,2.53479,2.53479,0.158424,
7.2,2.08119,2.47666,1.18446,0.110424,0.164509,108.379,0.162919,105.14,0.162125,107.173,0.163317,110.348,0.165304,109.764,0.162522,105.875,0.163714,107.479,0.165304,107.841,0.163317,107.392,0.164111,107.046,0.165701,107.551,0.164509,105.836,0.166496,108.38,0.165304,106.016,0.166496,109.944,0.163317,109.905,2.62896,2.62896,2.62896,0.16431,
